Player Name,Turned Pro,weight (lbs),Birthdate,Favorite_Hand,BackHand,Height (CM),player_name_clean_3first
sergiy-stakhovsky,2003,176,1986-01-06,Right,One-Handed,193.0,stakhovsky ser
tomas-berdych,2002,200,1985-09-17,Right,Two-Handed,196.0,berdych tom
pablo-andujar,2003,176,1986-01-23,Right,Two-Handed,180.0,andujar pab
frank-dancevic,2003,175,1984-09-26,Right,One-Handed,185.0,dancevic fra
nicolas-mahut,2000,181,1982-01-21,Right,One-Handed,191.0,mahut nic
vasek-pospisil,2007,194,1990-06-23,Right,Two-Handed,193.0,pospisil vas
daniel-gimeno-traver,2004,176,1985-08-07,Right,Two-Handed,183.0,traver dan
lucas-pouille,2012,185,1994-02-23,Right,Two-Handed,185.0,pouille luc
andrea-arnaboldi,2006,158,1987-12-27,Left,One-Handed,180.0,arnaboldi and
hiroki-moriya,"
",143,1990-10-16,Right,Two-Handed,168.0,moriya hir
alexander-kudryavtsev,"
",174,1985-10-26,Right,Unknown,183.0,kudryavtsev ale
james-ward,2006,171,1987-02-09,Right,Two-Handed,188.0,ward jam
pierre-hugues-herbert,2010,165,1991-03-18,Right,Two-Handed,188.0,herbert pie
adrian-ungur,2003,161,1985-01-22,Right,One-Handed,178.0,ungur adr
austin-krajicek,2012,175,1990-06-16,Left,Two-Handed,188.0,krajicek aus
richard-gasquet,2002,174,1986-06-18,Right,One-Handed,183.0,gasquet ric
facundo-bagnis,2008,180,1990-02-27,Left,Two-Handed,183.0,bagnis fac
gael-monfils,2004,187,1986-09-01,Right,Two-Handed,193.0,monfils gae
norbert-gombos,2009,187,1990-08-13,Right,Two-Handed,193.0,gombos nor
denis-kudla,2010,175,1992-08-17,Right,Two-Handed,180.0,kudla den
radek-stepanek,1996,167,1978-11-27,Right,Two-Handed,185.0,stepanek rad
yoshihito-nishioka,2014,141,1995-09-27,Left,Two-Handed,170.0,nishioka yos
ryan-harrison,2007,185,1992-05-07,Right,Two-Handed,185.0,harrison rya
steve-darcis,2003,171,1984-03-13,Right,One-Handed,175.0,darcis ste
viktor-troicki,2006,189,1986-02-10,Right,Two-Handed,193.0,troicki vik
nikoloz-basilashvili,2008,174,1992-02-23,Right,Two-Handed,185.0,basilashvili nik
luke-saville,2012,183,1994-01-02,Right,Two-Handed,188.0,saville luk
marin-cilic,2005,196,1988-09-28,Right,Two-Handed,198.0,cilic mar
michal-przysiezny,2001,185,1984-02-16,Right,Unknown,185.0,przysiezny mic
john-isner,2007,238,1985-04-26,Right,Two-Handed,208.0,isner joh
ernests-gulbis,2004,187,1988-08-30,Right,Two-Handed,191.0,gulbis ern
sam-querrey,2006,209,1987-10-07,Right,Two-Handed,198.0,querrey sam
fernando-verdasco,2001,198,1983-11-15,Left,Two-Handed,188.0,verdasco fer
maximo-gonzalez,2002,165,1983-07-20,Right,Two-Handed,173.0,gonzalez max
thiemo-de-bakker,"
",182,1988-09-19,Right,Two-Handed,193.0,bakker thi
stephane-robert,2001,170,1980-05-17,Right,Two-Handed,185.0,robert ste
mikhail-youzhny,1999,160,1982-06-25,Right,One-Handed,183.0,youzhny mik
alexander-zverev,2013,198,1997-04-20,Right,Two-Handed,198.0,zverev ale
alejandro-falla,2000,169,1983-11-14,Left,Two-Handed,185.0,falla ale
albert-montanes,1999,155,1980-11-26,Right,One-Handed,175.0,montanes alb
marsel-ilhan,2006,176,1987-06-11,Right,Two-Handed,191.0,ilhan mar
tim-smyczek,2006,160,1987-12-30,Right,Two-Handed,175.0,smyczek tim
jo-wilfried-tsonga,2004,205,1985-04-17,Right,Two-Handed,188.0,tsonga jo
philipp-kohlschreiber,2001,154,1983-10-16,Right,One-Handed,178.0,kohlschreiber phi
gilles-simon,2002,154,1984-12-27,Right,Two-Handed,183.0,simon gil
andre-ghem,2003,190,1982-05-29,Right,Unknown,193.0,ghem and
andrey-golubev,2005,169,1987-07-22,Right,One-Handed,180.0,golubev and
rajeev-ram,2004,185,1984-03-18,Right,One-Handed,193.0,ram raj
james-duckworth,2010,181,1992-01-21,Right,Two-Handed,183.0,duckworth jam
lukasz-kubot,2002,194,1982-05-16,Right,Two-Handed,191.0,kubot luk
ricardas-berankis,2007,170,1990-06-21,Right,Two-Handed,175.0,berankis ric
ivan-dodig,2004,179,1985-01-02,Right,Two-Handed,183.0,dodig iva
potito-starace,2001,185,1981-07-14,Right,Two-Handed,188.0,starace pot
adrian-mannarino,2004,174,1988-06-29,Left,Two-Handed,180.0,mannarino adr
illya-marchenko,2006,191,1987-09-08,Right,Two-Handed,185.0,marchenko ill
dominic-thiem,2011,174,1993-09-03,Right,One-Handed,185.0,thiem dom
nicolas-almagro,2003,190,1985-08-21,Right,One-Handed,183.0,almagro nic
fabio-fognini,2004,174,1987-05-24,Right,Two-Handed,178.0,fognini fab
marinko-matosevic,2003,190,1985-08-08,Right,Two-Handed,193.0,matosevic mar
simone-bolelli,2003,182,1985-10-08,Right,One-Handed,183.0,bolelli sim
novak-djokovic,2003,170,1987-05-22,Right,Two-Handed,188.0,djokovic nov
guido-pella,2007,174,1990-05-17,Left,Two-Handed,183.0,pella gui
dustin-brown,2002,172,1984-12-08,Right,Two-Handed,196.0,brown dus
lukas-rosol,2004,182,1985-07-24,Right,Two-Handed,193.0,rosol luk
alejandro-gonzalez,2006,182,1989-02-07,Right,Two-Handed,191.0,gonzalez ale
blaz-rola,2013,187,1990-10-05,Left,Two-Handed,193.0,rola bla
luca-vanni,"
",207,1985-06-04,Right,Two-Handed,198.0,vanni luc
guido-andreozzi,2010,172,1991-08-05,Right,Two-Handed,183.0,andreozzi gui
martin-klizan,2007,187,1989-07-11,Left,Two-Handed,191.0,klizan mar
horacio-zeballos,2003,185,1985-04-27,Left,One-Handed,188.0,zeballos hor
john-patrick-smith,2012,185,1989-01-24,Left,Two-Handed,188.0,smith joh
lukas-lacko,2005,192,1987-11-03,Right,Two-Handed,188.0,lacko luk
ivo-karlovic,2000,230,1979-02-28,Right,One-Handed,211.0,karlovic ivo
hans-podlipnik-castillo,2005,172,1988-01-09,Right,One-Handed,183.0,castillo han
julien-benneteau,2000,174,1981-12-20,Right,Two-Handed,185.0,benneteau jul
thanasi-kokkinakis,2013,185,1996-04-10,Right,Two-Handed,193.0,kokkinakis tha
donald-young,2004,175,1989-07-23,Left,Two-Handed,183.0,young don
kimmer-coppejans,2012,150,1994-02-07,Right,Two-Handed,180.0,coppejans kim
denis-istomin,2004,189,1986-09-07,Right,Two-Handed,185.0,istomin den
jurgen-melzer,1999,176,1981-05-22,Left,Two-Handed,183.0,melzer jur
facundo-arguello,"
",170,1992-08-04,Right,Two-Handed,178.0,arguello fac
juan-monaco,2002,179,1984-03-29,Right,Two-Handed,185.0,monaco jua
david-ferrer,2000,161,1982-04-02,Right,Two-Handed,175.0,ferrer dav
jan-hernych,1998,182,1979-07-07,Right,Two-Handed,188.0,hernych jan
ante-pavic,"
",211,1989-03-07,Right,Two-Handed,196.0,pavic ant
filip-krajinovic,2008,165,1992-02-27,Right,Two-Handed,185.0,krajinovic fil
miloslav-mecir,"
",193,1988-01-20,Right,Two-Handed,196.0,mecir mil
evgeny-donskoy,2007,165,1990-05-09,Right,Two-Handed,185.0,donskoy evg
paul-henri-mathieu,1999,163,1982-01-12,Right,Two-Handed,185.0,mathieu pau
peter-gojowczyk,2006,183,1989-07-15,Right,Two-Handed,188.0,gojowczyk pet
tommy-haas,1996,185,1978-04-03,Right,One-Handed,188.0,haas tom
yuichi-sugita,2006,159,1988-09-18,Right,Two-Handed,175.0,sugita yui
jason-kubler,2011,163,1993-05-19,Right,Two-Handed,178.0,kubler jas
andreas-beck,2003,196,1986-02-05,Left,Two-Handed,191.0,beck and
dudi-sela,2002,144,1985-04-04,Right,One-Handed,175.0,sela dud
andrej-martin,2007,183,1989-09-20,Right,Two-Handed,183.0,martin and
paolo-lorenzi,2003,172,1981-12-15,Right,Two-Handed,183.0,lorenzi pao
teymuraz-gabashvili,2001,191,1985-05-23,Right,Two-Handed,185.0,gabashvili tey
alexandr-dolgopolov,2006,157,1988-11-07,Right,Two-Handed,180.0,dolgopolov ale
jozef-kovalik,2010,181,1992-11-04,Right,Two-Handed,183.0,kovalik joz
jerzy-janowicz,2007,207,1990-11-13,Right,Two-Handed,203.0,janowicz jer
feliciano-lopez,1997,194,1981-09-20,Left,One-Handed,188.0,lopez fel
michael-russell,1998,155,1978-05-01,Right,Two-Handed,173.0,russell mic
victor-hanescu,2000,194,1981-07-21,Right,One-Handed,198.0,hanescu vic
pablo-carreno-busta,2009,172,1991-07-12,Right,Two-Handed,188.0,busta pab
ruben-bemelmans,2006,165,1988-01-14,Left,Two-Handed,183.0,bemelmans rub
chase-buchanan,"
",175,1991-06-04,Right,Unknown,193.0,buchanan cha
tommy-robredo,1998,165,1982-05-01,Right,One-Handed,180.0,robredo tom
andy-murray,2005,181,1987-05-15,Right,Two-Handed,191.0,murray and
jurgen-zopp,2008,194,1988-03-29,Right,Two-Handed,191.0,zopp jur
leonardo-mayer,2003,176,1987-05-15,Right,One-Handed,191.0,mayer leo
dmitry-tursunov,2000,180,1982-12-12,Right,Two-Handed,185.0,tursunov dmi
kenny-de-schepper,2010,220,1987-05-29,Left,One-Handed,203.0,schepper ken
julian-reister,2005,192,1986-04-02,Right,One-Handed,188.0,reister jul
robin-haase,2005,170,1987-04-06,Right,Two-Handed,191.0,haase rob
matteo-viola,2004,176,1987-07-07,Right,Two-Handed,185.0,viola mat
milos-raonic,2008,216,1990-12-27,Right,Two-Handed,196.0,raonic mil
diego-schwartzman,2010,141,1992-08-16,Right,Two-Handed,170.0,schwartzman die
benjamin-becker,2005,158,1981-06-16,Right,Two-Handed,178.0,becker ben
go-soeda,2003,160,1984-09-05,Right,Two-Handed,178.0,soeda go
kyle-edmund,2012,183,1995-01-08,Right,Two-Handed,188.0,edmund kyl
yen-hsun-lu,2001,163,1983-08-14,Right,Two-Handed,180.0,lu yen
jan-lennard-struff,2009,202,1990-04-25,Right,Two-Handed,193.0,struff jan
vincent-millot,2007,165,1986-01-30,Left,Two-Handed,173.0,millot vin
wayne-odesnik,2004,170,1985-11-21,Left,Two-Handed,180.0,odesnik way
nick-kyrgios,2013,187,1995-04-27,Right,Two-Handed,193.0,kyrgios nic
gilles-muller,2001,196,1983-05-09,Left,Two-Handed,193.0,muller gil
joao-souza,2006,203,1988-05-27,Right,Two-Handed,193.0,souza joa
grigor-dimitrov,2008,179,1991-05-16,Right,One-Handed,191.0,dimitrov gri
stan-wawrinka,2002,179,1985-03-28,Right,One-Handed,183.0,wawrinka sta
carlos-berlocq,2001,178,1983-02-03,Right,One-Handed,183.0,berlocq car
bradley-klahn,2012,165,1990-08-20,Left,Two-Handed,183.0,klahn bra
hyeon-chung,2014,196,1996-05-19,Right,Two-Handed,188.0,chung hye
radu-albot,2008,152,1989-11-11,Right,Two-Handed,175.0,albot rad
denys-molchanov,"
",187,1987-05-16,Right,Two-Handed,188.0,molchanov den
aljaz-bedene,2008,161,1989-07-18,Right,Two-Handed,183.0,bedene alj
andreas-haider-maurer,2005,196,1987-03-22,Right,Two-Handed,191.0,maurer and
andreas-seppi,2002,172,1984-02-21,Right,Two-Handed,191.0,seppi and
kei-nishikori,2007,161,1989-12-29,Right,Two-Handed,178.0,nishikori kei
joao-sousa,2008,163,1989-03-30,Right,Two-Handed,185.0,sousa joa
ze-zhang,2008,187,1990-07-04,Right,Two-Handed,188.0,zhang ze
igor-sijsling,2006,187,1987-08-18,Right,One-Handed,191.0,sijsling igo
alex-kuznetsov,2004,172,1987-02-05,Right,Two-Handed,183.0,kuznetsov ale
jarmere-jenkins,"
",170,1990-11-25,Right,Two-Handed,183.0,jenkins jar
john-millman,2006,174,1989-06-14,Right,Two-Handed,183.0,millman joh
victor-estrella-burgos,2002,170,1980-08-02,Right,One-Handed,170.0,burgos vic
marton-fucsovics,2010,181,1992-02-08,Right,Two-Handed,188.0,fucsovics mar
liam-broady,2014,172,1994-01-04,Left,Two-Handed,183.0,broady lia
lleyton-hewitt,1998,170,1981-02-24,Right,Two-Handed,178.0,hewitt lle
damir-dzumhur,2011,150,1992-05-20,Right,Two-Handed,175.0,dzumhur dam
roberto-bautista-agut,2005,165,1988-04-14,Right,Two-Handed,183.0,agut rob
adrian-menendez-maceiras,2005,165,1985-10-28,Right,Two-Handed,183.0,maceiras adr
borna-coric,2013,187,1996-11-14,Right,Two-Handed,188.0,coric bor
roberto-carballes-baena,2011,170,1993-03-23,Right,Two-Handed,183.0,baena rob
juan-martin-del-potro,2005,214,1988-09-23,Right,Two-Handed,198.0,potro jua
jiri-vesely,2009,207,1993-07-10,Left,Two-Handed,198.0,vesely jir
taro-daniel,2010,185,1993-01-27,Right,Two-Handed,191.0,daniel tar
jimmy-wang,2001,162,1985-02-08,Right,Two-Handed,180.0,wang jim
malek-jaziri,2003,182,1984-01-20,Right,Two-Handed,185.0,jaziri mal
steve-johnson,2012,190,1989-12-24,Right,Two-Handed,188.0,johnson ste
dusan-lajovic,2007,183,1990-06-30,Right,One-Handed,183.0,lajovic dus
aleksandr-nedovyesov,2005,176,1987-02-15,Right,Two-Handed,188.0,nedovyesov ale
mikhail-kukushkin,2006,159,1987-12-26,Right,Two-Handed,183.0,kukushkin mik
pablo-cuevas,2004,173,1986-01-01,Right,One-Handed,180.0,cuevas pab
pere-riba,2004,173,1988-04-07,Right,Two-Handed,183.0,riba per
rafael-nadal,2001,187,1986-06-03,Left,Two-Handed,185.0,nadal raf
edouard-roger-vasselin,2002,173,1983-11-28,Right,Two-Handed,185.0,vasselin edo
kevin-anderson,2007,208,1986-05-18,Right,Two-Handed,203.0,anderson kev
andrey-kuznetsov,2008,154,1991-02-22,Right,Two-Handed,183.0,kuznetsov and
florian-mayer,2001,180,1983-10-05,Right,Two-Handed,191.0,mayer flo
santiago-giraldo,2004,166,1987-11-27,Right,Two-Handed,188.0,giraldo san
roger-federer,1998,187,1981-08-08,Right,One-Handed,185.0,federer rog
jarkko-nieminen,2000,172,1981-07-23,Left,Two-Handed,185.0,nieminen jar
albert-ramos-vinolas,2007,168,1988-01-17,Left,Two-Handed,188.0,vinolas alb
gerald-melzer,2007,176,1990-07-13,Left,Two-Handed,188.0,melzer ger
marcos-baghdatis,2003,181,1985-06-17,Right,Two-Handed,178.0,baghdatis mar
david-goffin,2009,154,1990-12-07,Right,Two-Handed,180.0,goffin dav
stefano-travaglia,2008,176,1991-12-28,Right,Two-Handed,185.0,travaglia ste
tobias-kamke,2004,167,1986-05-21,Right,Two-Handed,178.0,kamke tob
blaz-kavcic,2005,172,1987-03-05,Right,Two-Handed,188.0,kavcic bla
jack-sock,2011,195,1992-09-24,Right,Two-Handed,191.0,sock jac
federico-delbonis,2007,198,1990-10-05,Left,Two-Handed,193.0,delbonis fed
bernard-tomic,2008,201,1992-10-21,Right,Two-Handed,196.0,tomic ber
tim-puetz,2011,171,1987-11-19,Right,Two-Handed,185.0,puetz tim
mate-delic,"
",189,1993-04-29,Right,Two-Handed,196.0,delic mat
peter-polansky,2007,176,1988-06-15,Right,Two-Handed,183.0,polansky pet
thomaz-bellucci,2005,181,1987-12-30,Left,Two-Handed,188.0,bellucci tho
jeremy-chardy,2005,165,1987-02-12,Right,Two-Handed,188.0,chardy jer
sam-groth,2006,220,1987-10-19,Right,One-Handed,193.0,groth sam
tatsuma-ito,2006,165,1988-05-18,Right,Two-Handed,180.0,ito tat
benoit-paire,2007,176,1989-05-08,Right,Two-Handed,196.0,paire ben
somdev-devvarman,2008,160,1985-02-13,Right,Two-Handed,180.0,devvarman som
gastao-elias,2008,167,1990-11-24,Right,Two-Handed,180.0,elias gas
matthias-bachinger,2005,190,1987-04-02,Right,Two-Handed,188.0,bachinger mat
marco-cecchinato,2010,171,1992-09-30,Right,One-Handed,185.0,cecchinato mar
michael-berrer,1999,220,1980-07-01,Left,One-Handed,193.0,berrer mic
farrukh-dustov,2003,194,1986-05-22,Right,Unknown,193.0,dustov far
guillermo-garcia-lopez,2002,176,1983-06-04,Right,One-Handed,185.0,lopez gui
alex-bolt,2011,407,1993-01-05,Left,Two-Handed,71.0,bolt ale
david-guez,"
",165,1982-12-08,Right,Unknown,185.0,guez dav
marcel-granollers,2003,176,1986-04-12,Right,Two-Handed,191.0,granollers mar
maxime-authom,0,0,1987-03-29,Right,Unknown,0.0,authom max
elias-ymer,2014,171,1996-04-10,Right,Two-Handed,185.0,ymer eli
james-mcgee,"
",176,1987-06-10,Right,Two-Handed,183.0,mcgee jam
marius-copil,2008,191,1990-10-17,Right,One-Handed,191.0,copil mar
niels-desein,2007,187,1987-06-09,Right,Unknown,191.0,desein nie
daniel-munoz-de-la-nava,1999,165,1982-01-29,Left,Two-Handed,175.0,nava dan
nicolas-jarry,2014,198,1995-10-11,Right,Two-Handed,198.0,jarry nic
marco-trungelliti,2008,176,1990-01-31,Right,Two-Handed,178.0,trungelliti mar
bjorn-fratangelo,2012,175,1993-07-19,Right,Two-Handed,183.0,fratangelo bjo
jared-donaldson,2014,165,1996-10-09,Right,Two-Handed,188.0,donaldson jar
renzo-olivo,2009,160,1992-03-15,Right,Two-Handed,178.0,olivo ren
mirza-basic,2012,193,1991-07-12,Right,Two-Handed,188.0,basic mir
konstantin-kravchuk,2004,176,1985-02-23,Right,Two-Handed,191.0,kravchuk kon
guilherme-clezar,2009,169,1992-12-31,Right,Two-Handed,180.0,clezar gui
roberto-marcora,2009,187,1989-08-30,Right,One-Handed,193.0,marcora rob
aslan-karatsev,2011,187,1993-09-04,Right,Two-Handed,185.0,karatsev asl
dennis-novikov,2013,200,1993-11-06,Right,Two-Handed,193.0,novikov den
ruben-ramirez-hidalgo,1998,163,1978-01-06,Right,Two-Handed,183.0,hidalgo rub
ti-chen,2002,162,1983-10-03,Right,Unknown,178.0,chen ti
thomas-fabbiano,2005,154,1989-05-26,Right,Two-Handed,173.0,fabbiano tho
filippo-volandri,1997,161,1981-09-05,Right,One-Handed,183.0,volandri fil
jason-jung,2011,152,1989-06-15,Right,Two-Handed,180.0,jung jas
yuki-bhambri,2008,165,1992-07-04,Right,Two-Handed,185.0,bhambri yuk
inigo-cervantes,2009,171,1989-11-30,Right,Two-Handed,180.0,cervantes ini
mathias-bourgue,"
",183,1994-01-18,Right,Two-Handed,188.0,bourgue mat
christian-lindell,"
",191,1991-11-20,Right,Two-Handed,193.0,lindell chr
giovanni-lapentti,2002,201,1983-01-25,Right,Two-Handed,193.0,lapentti gio
adam-pavlasek,2012,168,1994-10-08,Right,Two-Handed,185.0,pavlasek ada
jose-hernandez-fernandez,"
",170,1990-03-13,Right,Two-Handed,183.0,fernandez jos
matthew-ebden,2006,176,1987-11-26,Right,Two-Handed,188.0,ebden mat
saketh-myneni,2012,187,1987-10-19,Right,Two-Handed,193.0,myneni sak
brydan-klein,2007,183,1989-12-31,Right,Two-Handed,188.0,klein bry
nicolas-kicker,2009,165,1992-08-16,Right,One-Handed,178.0,kicker nic
germain-gigounon,"
",161,1989-04-20,Right,Unknown,178.0,gigounon ger
laslo-djere,2013,181,1995-06-02,Right,Two-Handed,188.0,djere las
karen-khachanov,2013,192,1996-05-21,Right,Two-Handed,198.0,khachanov kar
darian-king,2010,170,1992-04-26,Right,Two-Handed,188.0,king dar
daniel-nguyen,2013,160,1990-10-16,Right,Two-Handed,173.0,nguyen dan
matteo-donati,2013,163,1995-02-28,Right,Two-Handed,185.0,donati mat
uladzimir-ignatik,2007,181,1990-07-14,Right,Unknown,183.0,ignatik ula
andrey-rublev,2014,165,1997-10-20,Right,Two-Handed,188.0,rublev and
yannick-mertens,2006,156,1987-06-25,Right,Two-Handed,185.0,mertens yan
gianluca-naso,"
",198,1987-01-06,Right,One-Handed,193.0,naso gia
tristan-lamasine,2010,152,1993-03-05,Right,Two-Handed,183.0,lamasine tri
oriol-roca-batalla,"
",165,1993-04-30,Right,One-Handed,175.0,batalla ori
rogerio-dutra-silva,2003,161,1984-02-05,Right,One-Handed,178.0,silva rog
calvin-hemery,2013,184,1995-01-28,Right,Two-Handed,191.0,hemery cal
jordan-thompson,2013,181,1994-04-20,Right,Two-Handed,183.0,thompson jor
alexander-sarkissian,2014,175,1990-04-03,Right,Two-Handed,191.0,sarkissian ale
pedro-cachin,2013,169,1995-04-12,Right,Two-Handed,185.0,cachin ped
daniel-brands,2005,203,1987-07-17,Right,One-Handed,196.0,brands dan
quentin-halys,2012,187,1996-10-26,Right,Two-Handed,191.0,halys que
nils-langer,"
",170,1990-01-25,Right,One-Handed,193.0,langer nil
grega-zemlja,2004,179,1986-09-29,Right,Two-Handed,183.0,zemlja gre
franko-skugor,"
",211,1987-09-20,Right,Two-Handed,196.0,skugor fra
jan-mertl,2002,185,1982-01-03,Right,Two-Handed,191.0,mertl jan
mischa-zverev,2005,195,1987-08-22,Left,Two-Handed,191.0,zverev mis
frances-tiafoe,2015,190,1998-01-20,Right,Two-Handed,188.0,tiafoe fra
daniel-evans,2006,165,1990-05-23,Right,One-Handed,175.0,evans dan
henri-laaksonen,2009,172,1992-03-31,Right,Two-Handed,185.0,laaksonen hen
dennis-novak,2011,178,1993-08-28,Right,Two-Handed,183.0,novak den
egor-gerasimov,2010,190,1992-11-11,Right,Two-Handed,196.0,gerasimov ego
taylor-fritz,2015,190,1997-10-28,Right,Two-Handed,196.0,fritz tay
aldin-setkic,"
",189,1987-12-21,Right,Two-Handed,191.0,setkic ald
